Index,Date_time,Temperature
1,01-03-2020,24
2,02-03-2020,23
3,03-03-2020,24
4,04-03-2020,25
5,05-03-2020,23
6,06-03-2020,24
7,07-03-2020,24
8,08-03-2020,23
9,09-03-2020,24
10,10-03-2020,23
11,11-03-2020,24
12,12-03-2020,24
13,13-03-2020,24
14,14-03-2020,23
15,15-03-2020,24
16,16-03-2020,23
17,17-03-2020,23
18,18-03-2020,23
19,19-03-2020,24
20,20-03-2020,24
21,21-03-2020,24
22,22-03-2020,24
23,23-03-2020,23
24,24-03-2020,24
25,25-03-2020,24
26,26-03-2020,24
27,27-03-2020,23
28,28-03-2020,24
29,29-03-2020,24
30,30-03-2020,24
31,31-03-2020,24
